,ASSESSMENT_YEAR,TOTALVALUE,HOMESTEAD,NEIGHBORHOOD,COMMUNITY,ZIPCODE,FORMATTED_ADDRESS,WARD,PROPERTY_TYPE,BUILDINGVALUE
81746,2020,0,NON-HOMESTEADED,ARMATAGE,SOUTHWEST,55419,6142 OLIVER AVE S,13.0,VACANT LAND - COMMERCIAL,0
81747,2020,0,NON-HOMESTEADED,ARMATAGE,SOUTHWEST,55419,2108 62ND ST W,13.0,VACANT LAND - COMMERCIAL,0
81748,2020,0,NON-HOMESTEADED,ARMATAGE,SOUTHWEST,55419,6143 PENN AVE S,13.0,VACANT LAND - COMMERCIAL,0
81749,2020,0,NON-HOMESTEADED,ARMATAGE,SOUTHWEST,55419,6140 PENN AVE S,13.0,VACANT LAND - COMMERCIAL,0
81750,2020,0,NON-HOMESTEADED,ARMATAGE,SOUTHWEST,55419,2104 62ND ST W,13.0,VACANT LAND - COMMERCIAL,0
81752,2020,0,NON-HOMESTEADED,KENNY,SOUTHWEST,55419,1800 62ND ST W,13.0,VACANT LAND - COMMERCIAL,0
81764,2020,0,NON-HOMESTEADED,KENNY,SOUTHWEST,55419,6123 LOGAN AVE S,13.0,VACANT LAND - COMMERCIAL,0
81765,2020,0,NON-HOMESTEADED,ARMATAGE,SOUTHWEST,55419,6132 LOGAN AVE S,13.0,VACANT LAND - COMMERCIAL,0
81767,2020,0,NON-HOMESTEADED,KENNY,SOUTHWEST,55419,6118 KNOX AVE S,13.0,VACANT LAND - COMMERCIAL,0
81771,2020,0,NON-HOMESTEADED,ARMATAGE,SOUTHWEST,55419-2034,6117 PENN AVE S,13.0,VACANT LAND - COMMERCIAL,0
81775,2020,0,NON-HOMESTEADED,ARMATAGE,SOUTHWEST,55419,6136 OLIVER AVE S,13.0,VACANT LAND - COMMERCIAL,0
81801,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1133,501 LOGAN AVE N,5.0,RESIDENTIAL,0
81804,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1119,1905 5TH AVE N,5.0,VACANT LAND - RESIDENTIAL,0
81805,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1119,1909 5TH AVE N,5.0,VACANT LAND - RESIDENTIAL,0
81816,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1143,414 NEWTON AVE N,5.0,VACANT LAND - COMMERCIAL,0
81817,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1112,1922 4TH AVE N,5.0,COMMERCIAL,0
81820,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1141,346 NEWTON AVE N,5.0,RESIDENTIAL,0
81821,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1248,1930 GLENWOOD AVE,5.0,COMMERCIAL,0
81836,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1133,535 LOGAN AVE N,5.0,VACANT LAND - RESIDENTIAL,0
81851,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1129,335 LOGAN AVE N,5.0,VACANT LAND - RESIDENTIAL,0
81863,2020,0,NON-HOMESTEADED,BRYN MAWR,CALHOUN-ISLE,55405,100 PENN AVE N,7.0,VACANT LAND - COMMERCIAL,0
81867,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405,214 OLIVER AVE N,5.0,VACANT LAND - RESIDENTIAL,0
81868,2020,0,NON-HOMESTEADED,BRYN MAWR,CALHOUN-ISLE,55405,100 OLIVER AVE N,7.0,VACANT LAND - RESIDENTIAL,0
81869,2020,0,NON-HOMESTEADED,BRYN MAWR,CALHOUN-ISLE,55405,102 OLIVER AVE N,7.0,VACANT LAND - RESIDENTIAL,0
81871,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405,104 OLIVER AVE N,5.0,VACANT LAND - RESIDENTIAL,0
81897,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1748,177 MORGAN AVE N,5.0,VACANT LAND - RESIDENTIAL,0
81898,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1704,2017 2ND AVE N,5.0,VACANT LAND - RESIDENTIAL,0
81899,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1704,2031 2ND AVE N,5.0,VACANT LAND - RESIDENTIAL,0
81912,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405,1910 CHESTNUT AVE W,5.0,VACANT LAND - RESIDENTIAL,0
81916,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1202,1936 3RD AVE N,5.0,RESIDENTIAL,0
81938,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-2038,201 NEWTON AVE N,5.0,VACANT LAND - RESIDENTIAL,0
81961,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1748,121 MORGAN AVE N,5.0,VACANT LAND - RESIDENTIAL,0
81963,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1212,2113 GLENWOOD AVE,5.0,VACANT LAND - RESIDENTIAL,0
81979,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1255,240 MORGAN AVE N,5.0,COMMERCIAL,0
81983,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1750,233 MORGAN AVE N,5.0,RESIDENTIAL,0
81985,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405,223 MORGAN AVE N,5.0,VACANT LAND - COMMERCIAL,0
81990,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1749,222 MORGAN AVE N,5.0,COMMERCIAL,0
82005,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1245,1801 GLENWOOD AVE,5.0,RESIDENTIAL,0
82026,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1213,2105 GLENWOOD AVE,5.0,APARTMENT,0
82033,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-2005,24 PENN AVE N,5.0,VACANT LAND - RESIDENTIAL,0
82037,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1258,2021 GLENWOOD AVE,5.0,APARTMENT,0
82070,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405,301 HUMBOLDT AVE N,5.0,VACANT LAND - COMMERCIAL,0
82075,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1231,246 IRVING AVE N,5.0,VACANT LAND - RESIDENTIAL,0
82126,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419-2556,6015 BLAISDELL AVE,11.0,VACANT LAND - COMMERCIAL,0
82142,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1729,1711 2ND AVE N,5.0,RESIDENTIAL,0
82146,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405,201 GRAMERCY AVE,5.0,VACANT LAND - COMMERCIAL,0
82152,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1227,1525 GLENWOOD AVE,5.0,COMMERCIAL,0
82154,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1226,1421 GLENWOOD AVE,5.0,VACANT LAND - COMMERCIAL,0
82160,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1225,301 1/2 CEDAR LAKE RD N,5.0,VACANT LAND - COMMERCIAL,0
82175,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405,1739 3RD AVE N,5.0,VACANT LAND - COMMERCIAL,0
82200,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1236,1601 GLENWOOD AVE,5.0,VACANT LAND - RESIDENTIAL,0
82214,2020,0,NON-HOMESTEADED,BELTRAMI,NORTHEAST,55413,659 POLK ST,3.0,VACANT LAND - COMMERCIAL,0
82238,2020,0,NON-HOMESTEADED,BELTRAMI,NORTHEAST,55413,1108 SPRING ST,3.0,VACANT LAND - COMMERCIAL,0
82243,2020,0,NON-HOMESTEADED,BELTRAMI,NORTHEAST,55413,900 BROADWAY ST NE,3.0,VACANT LAND - COMMERCIAL,0
82252,2020,0,NON-HOMESTEADED,BELTRAMI,NORTHEAST,55413-2424,604 TAYLOR ST,3.0,COMMON AREA (NO VALUE),0
82260,2020,0,NON-HOMESTEADED,BELTRAMI,NORTHEAST,55413,1000 BROADWAY ST NE,3.0,VACANT LAND - COMMERCIAL,0
82262,2020,0,NON-HOMESTEADED,BELTRAMI,NORTHEAST,55413,754 TYLER ST,3.0,VACANT LAND - COMMERCIAL,0
82263,2020,0,NON-HOMESTEADED,BELTRAMI,NORTHEAST,55413,1012 BROADWAY ST NE,3.0,VACANT LAND - COMMERCIAL,0
82265,2020,0,NON-HOMESTEADED,BELTRAMI,NORTHEAST,55413-2419,1000 SUMMER ST,3.0,VACANT LAND - INDUSTRIAL,0
82298,2020,0,NON-HOMESTEADED,BELTRAMI,NORTHEAST,55414,300 TYLER ST,3.0,VACANT LAND - COMMERCIAL,0
82301,2020,0,NON-HOMESTEADED,BELTRAMI,NORTHEAST,55414,301 TYLER ST,3.0,VACANT LAND - COMMERCIAL,0
82302,2020,0,NON-HOMESTEADED,BELTRAMI,NORTHEAST,55414,300 TAYLOR ST,3.0,VACANT LAND - COMMERCIAL,0
82303,2020,0,NON-HOMESTEADED,BELTRAMI,NORTHEAST,55413,1008 WINTER ST,3.0,VACANT LAND - COMMERCIAL,0
82304,2020,0,NON-HOMESTEADED,BELTRAMI,NORTHEAST,55413,1130 WINTER ST,3.0,VACANT LAND - INDUSTRIAL,0
82306,2020,0,NON-HOMESTEADED,BELTRAMI,NORTHEAST,55414,801 HENNEPIN AVE E,3.0,VACANT LAND - COMMERCIAL,0
82310,2020,0,NON-HOMESTEADED,HALE,NOKOMIS,55417,1500 50TH ST E,11.0,VACANT LAND - RESIDENTIAL,0
82312,2020,0,NON-HOMESTEADED,BELTRAMI,NORTHEAST,55413-2422,415 TAYLOR ST,3.0,VACANT LAND - INDUSTRIAL,0
82313,2020,0,NON-HOMESTEADED,BELTRAMI,NORTHEAST,55413-2422,401 TAYLOR ST,3.0,VACANT LAND - COMMERCIAL,0
82327,2020,0,NON-HOMESTEADED,BELTRAMI,NORTHEAST,55413,401 TYLER ST,3.0,VACANT LAND - INDUSTRIAL,0
82345,2020,0,NON-HOMESTEADED,BELTRAMI,NORTHEAST,55413-2513,435 PIERCE ST,3.0,RESIDENTIAL,0
82371,2020,0,NON-HOMESTEADED,BELTRAMI,NORTHEAST,55413,300 PIERCE ST,3.0,VACANT LAND - COMMERCIAL,0
82375,2020,0,NON-HOMESTEADED,BELTRAMI,NORTHEAST,55413,1001 HENNEPIN AVE E,3.0,VACANT LAND - COMMERCIAL,0
82379,2020,0,NON-HOMESTEADED,BELTRAMI,NORTHEAST,55413-2501,323 BUCHANAN ST,3.0,VACANT LAND - RESIDENTIAL,0
82385,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,403 60TH ST W,11.0,VACANT LAND - COMMERCIAL,0
82386,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,210 61ST ST W,11.0,VACANT LAND - COMMERCIAL,0
82387,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,6002 PLEASANT AVE,11.0,VACANT LAND - COMMERCIAL,0
82391,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,6141 LYNDALE AVE S,11.0,VACANT LAND - COMMERCIAL,0
82392,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,410 61ST ST W,11.0,VACANT LAND - COMMERCIAL,0
82393,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419-2251,6024 HARRIET AVE,11.0,INDUSTRIAL,0
82394,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,500 60TH ST W,11.0,VACANT LAND - COMMERCIAL,0
82395,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,6157 LYNDALE AVE S,11.0,VACANT LAND - COMMERCIAL,0
82401,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,208 60TH ST W,11.0,VACANT LAND - COMMERCIAL,0
82411,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,6000 BLAISDELL AVE,11.0,VACANT LAND - COMMERCIAL,0
82412,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,1 60TH ST W,11.0,VACANT LAND - COMMERCIAL,0
82428,2020,0,NON-HOMESTEADED,NORTHLOOP,CENTRAL,55401,418 1/2 RIVER ST,3.0,COMMON AREA (NO VALUE),0
82433,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,6000 WENTWORTH AVE,11.0,VACANT LAND - COMMERCIAL,0
82448,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,6000 PILLSBURY AVE,11.0,VACANT LAND - COMMERCIAL,0
82449,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,202 60TH ST W,11.0,VACANT LAND - COMMERCIAL,0
82474,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419-2561,6156 NICOLLET AVE,11.0,VACANT LAND - COMMERCIAL,0
82475,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419-2566,16 62ND ST W,11.0,VACANT LAND - APARTMENT,0
82479,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,1 61ST ST W,11.0,VACANT LAND - COMMERCIAL,0
82483,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,203 61ST ST W,11.0,VACANT LAND - COMMERCIAL,0
82484,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,200 60TH ST W,11.0,VACANT LAND - COMMERCIAL,0
82486,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,46 61ST ST W,11.0,VACANT LAND - COMMERCIAL,0
82499,2020,0,NON-HOMESTEADED,DIAMOND LAKE,NOKOMIS,55417-2462,5760 PORTLAND AVE,11.0,COMMERCIAL,0
82500,2020,0,NON-HOMESTEADED,DIAMOND LAKE,NOKOMIS,55417-3126,5808 1/2 PORTLAND AVE,11.0,VACANT LAND - COMMERCIAL,0
82525,2020,0,NON-HOMESTEADED,DIAMOND LAKE,NOKOMIS,55419,100 60TH ST E,11.0,VACANT LAND - COMMERCIAL,0
82538,2020,0,NON-HOMESTEADED,NORTHLOOP,CENTRAL,55401-1040,901 5TH ST N,5.0,VACANT LAND - COMMERCIAL,0
82582,2020,0,NON-HOMESTEADED,DIAMOND LAKE,NOKOMIS,55417-3126,5800 PORTLAND AVE,11.0,VACANT LAND - COMMERCIAL,0
82610,2020,0,NON-HOMESTEADED,DIAMOND LAKE,NOKOMIS,55419,5955 2ND AVE S,11.0,VACANT LAND - COMMERCIAL,0
82613,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,5800 2ND AVE S,11.0,VACANT LAND - COMMERCIAL,0
82689,2020,0,NON-HOMESTEADED,KENNY,SOUTHWEST,55419,1711 62ND ST W,13.0,VACANT LAND - COMMERCIAL,0
82690,2020,0,NON-HOMESTEADED,KENNY,SOUTHWEST,55419,6115 KNOX AVE S,13.0,VACANT LAND - COMMERCIAL,0
82710,2020,0,NON-HOMESTEADED,KENNY,SOUTHWEST,55419,6001 IRVING AVE S,13.0,VACANT LAND - COMMERCIAL,0
82716,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,657 58TH ST W,11.0,VACANT LAND - COMMERCIAL,0
82718,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,5814 LYNDALE AVE S,11.0,VACANT LAND - COMMERCIAL,0
82719,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419-2222,5820 LYNDALE AVE S,11.0,DOUBLE BUNGALOW,0
82720,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419-2222,5824 LYNDALE AVE S,11.0,DOUBLE BUNGALOW,0
82731,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,5813 ALDRICH AVE S,11.0,VACANT LAND - COMMERCIAL,0
82732,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,5801 ALDRICH AVE S,11.0,VACANT LAND - COMMERCIAL,0
82733,2020,0,NON-HOMESTEADED,KENNY,SOUTHWEST,55419,5800 ALDRICH AVE S,13.0,VACANT LAND - COMMERCIAL,0
82736,2020,0,NON-HOMESTEADED,KENNY,SOUTHWEST,55419-2101,5813 BRYANT AVE S,13.0,RESIDENTIAL,0
82749,2020,0,NON-HOMESTEADED,KENNY,SOUTHWEST,55419,5844 BRYANT AVE S,13.0,VACANT LAND - COMMERCIAL,0
82802,2020,0,NON-HOMESTEADED,KENNY,SOUTHWEST,55419,5926 COLFAX AVE S,13.0,VACANT LAND - COMMERCIAL,0
82804,2020,0,NON-HOMESTEADED,KENNY,SOUTHWEST,55419,5940 COLFAX AVE S,13.0,VACANT LAND - COMMERCIAL,0
82805,2020,0,NON-HOMESTEADED,KENNY,SOUTHWEST,55419,5944 COLFAX AVE S,13.0,VACANT LAND - COMMERCIAL,0
82898,2020,0,NON-HOMESTEADED,KENNY,SOUTHWEST,55419,5940 GIRARD AVE S,13.0,VACANT LAND - COMMERCIAL,0
82917,2020,0,NON-HOMESTEADED,KENNY,SOUTHWEST,55419,5921 1/2 GIRARD AVE S,13.0,VACANT LAND - COMMERCIAL,0
82963,2020,0,NON-HOMESTEADED,KENNY,SOUTHWEST,55419,5929 EMERSON AVE S,13.0,VACANT LAND - COMMERCIAL,0
82978,2020,0,NON-HOMESTEADED,KENNY,SOUTHWEST,55419-2215,6123 DUPONT AVE S,13.0,VACANT LAND - COMMERCIAL,0
82979,2020,0,NON-HOMESTEADED,KENNY,SOUTHWEST,55419-2215,6151 DUPONT AVE S,13.0,VACANT LAND - COMMERCIAL,0
82980,2020,0,NON-HOMESTEADED,KENNY,SOUTHWEST,55419,6137 1/2 DUPONT AVE S,13.0,VACANT LAND - COMMERCIAL,0
82991,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,6100 1/2 DUPONT AVE S,11.0,VACANT LAND - COMMERCIAL,0
83000,2020,0,NON-HOMESTEADED,KENNY,SOUTHWEST,55419,1400 62ND ST W,13.0,VACANT LAND - COMMERCIAL,0
83023,2020,0,NON-HOMESTEADED,KENNY,SOUTHWEST,55419-2128,6000 EMERSON AVE S,13.0,RESIDENTIAL,0
83027,2020,0,NON-HOMESTEADED,SUMNER-GLENWOOD,NEAR NORTH,55405-1306,430 BRYANT AVE N,5.0,VACANT LAND - COMMERCIAL,0
83031,2020,0,NON-HOMESTEADED,SUMNER-GLENWOOD,NEAR NORTH,55405-1359,901 OLSON MEMORIAL HWY,5.0,COMMERCIAL,0
83032,2020,0,NON-HOMESTEADED,SUMNER-GLENWOOD,NEAR NORTH,55405-1359,921 OLSON MEMORIAL HWY,5.0,COMMERCIAL,0
83033,2020,0,NON-HOMESTEADED,SUMNER-GLENWOOD,NEAR NORTH,55405,404 ALDRICH AVE N,5.0,VACANT LAND - APARTMENT,0
83036,2020,0,NON-HOMESTEADED,SUMNER-GLENWOOD,NEAR NORTH,55405,500 BRYANT AVE N,5.0,APARTMENT,0
83037,2020,0,NON-HOMESTEADED,SUMNER-GLENWOOD,NEAR NORTH,55405,851 OLSON MEMORIAL HWY,5.0,APARTMENT,0
83038,2020,0,NON-HOMESTEADED,SUMNER-GLENWOOD,NEAR NORTH,55405,500 - 502 VAN WHITE MEMORIAL BLVD,5.0,APARTMENT,0
83039,2020,0,NON-HOMESTEADED,SUMNER-GLENWOOD,NEAR NORTH,55405,916 4TH AVE N,5.0,VACANT LAND - APARTMENT,0
83040,2020,0,NON-HOMESTEADED,SUMNER-GLENWOOD,NEAR NORTH,55405,421 ALDRICH AVE N,5.0,VACANT LAND - APARTMENT,0
83041,2020,0,NON-HOMESTEADED,SUMNER-GLENWOOD,NEAR NORTH,55405,961 5TH AVE N,5.0,VACANT LAND - APARTMENT,0
83042,2020,0,NON-HOMESTEADED,SUMNER-GLENWOOD,NEAR NORTH,55405,1015 4TH AVE N,5.0,APARTMENT,0
83043,2020,0,NON-HOMESTEADED,SUMNER-GLENWOOD,NEAR NORTH,55405,901 4TH AVE N,5.0,APARTMENT,0
83044,2020,0,NON-HOMESTEADED,SUMNER-GLENWOOD,NEAR NORTH,55405,300 FREMONT AVE N,5.0,VACANT LAND - COMMERCIAL,0
83046,2020,0,NON-HOMESTEADED,SUMNER-GLENWOOD,NEAR NORTH,55405-1415,1210 GLENWOOD AVE,5.0,COMMERCIAL,0
83051,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1315,555 GIRARD TERR,5.0,VACANT LAND - INDUSTRIAL,0
83054,2020,0,NON-HOMESTEADED,SUMNER-GLENWOOD,NEAR NORTH,55405,428 GIRARD TERR,5.0,VACANT LAND - APARTMENT,0
83055,2020,0,NON-HOMESTEADED,SUMNER-GLENWOOD,NEAR NORTH,55405,1201 VAN WHITE MEMORIAL BLVD,5.0,VACANT LAND - APARTMENT,0
83056,2020,0,NON-HOMESTEADED,SUMNER-GLENWOOD,NEAR NORTH,55405,1134 VAN WHITE MEMORIAL BLVD,5.0,VACANT LAND - APARTMENT,0
83057,2020,0,NON-HOMESTEADED,SUMNER-GLENWOOD,NEAR NORTH,55405,350 VAN WHITE MEMORIAL BLVD,5.0,APARTMENT,0
83064,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1802,1221 2ND AVE N,5.0,VACANT LAND - APARTMENT,0
83065,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405,101 FREMONT AVE N,5.0,VACANT LAND - INDUSTRIAL,0
83082,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1813,214 HUMBOLDT AVE N,5.0,VACANT LAND - APARTMENT,0
83083,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1813,210 HUMBOLDT AVE N,5.0,VACANT LAND - APARTMENT,0
83084,2020,0,NON-HOMESTEADED,SUMNER-GLENWOOD,NEAR NORTH,55405-1430,1138 GLENWOOD AVE,5.0,COMMERCIAL,0
83088,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1802,1215 2ND AVE N,5.0,VACANT LAND - APARTMENT,0
83089,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1802,1207 2ND AVE N,5.0,VACANT LAND - APARTMENT,0
83090,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405,1131 2ND AVE N,5.0,VACANT LAND - APARTMENT,0
83093,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1809,205 GIRARD AVE N,5.0,VACANT LAND - APARTMENT,0
83094,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405,1129 2ND AVE N,5.0,VACANT LAND - APARTMENT,0
83099,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405,1021 2ND AVE N,5.0,INDUSTRIAL,0
83101,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405,113 GIRARD AVE N,5.0,VACANT LAND - INDUSTRIAL,0
83102,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405,105 FREMONT AVE N,5.0,VACANT LAND - INDUSTRIAL,0
83103,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405,1001 2ND AVE N,5.0,INDUSTRIAL,0
83106,2020,0,NON-HOMESTEADED,SUMNER-GLENWOOD,NEAR NORTH,55405-1430,1100 GLENWOOD AVE,5.0,COMMERCIAL,0
83112,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405-1631,198 ALDRICH AVE N,5.0,INDUSTRIAL,0
83119,2020,0,NON-HOMESTEADED,HARRISON,NEAR NORTH,55405,100 COLFAX AVE N,5.0,VACANT LAND - INDUSTRIAL,0
83219,2020,0,NON-HOMESTEADED,PAGE,NOKOMIS,55419,413 DIAMOND LAKE RD E,11.0,VACANT LAND - COMMERCIAL,0
83282,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,5501 STEVENS AVE,11.0,VACANT LAND - COMMERCIAL,0
83283,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419-1933,5500 STEVENS AVE,11.0,COMMERCIAL,0
83313,2020,0,NON-HOMESTEADED,TANGLETOWN,SOUTHWEST,55419,5420 STEVENS AVE,11.0,VACANT LAND - COMMERCIAL,0
83387,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419-1756,603 55TH ST W,11.0,NURSING HOME,0
83388,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,5517 LYNDALE AVE S,11.0,NURSING HOME,0
83390,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419-1707,609 54TH ST W,11.0,COMMERCIAL,0
83397,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,5612 1/2 PLEASANT AVE,11.0,VACANT LAND - COMMERCIAL,0
83398,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,610 57TH ST W,11.0,VACANT LAND - COMMERCIAL,0
83399,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,5613 LYNDALE AVE S,11.0,VACANT LAND - COMMERCIAL,0
83746,2020,0,NON-HOMESTEADED,NORTHLOOP,CENTRAL,55405-1523,525 7TH ST N,5.0,COMMERCIAL,0
83747,2020,0,NON-HOMESTEADED,NORTHLOOP,CENTRAL,55405-1521,661 5TH AVE N,5.0,COMMERCIAL,0
83748,2020,0,NON-HOMESTEADED,NORTHLOOP,CENTRAL,55405-1522,425 7TH ST N,5.0,VACANT LAND - APARTMENT,0
83749,2020,0,NON-HOMESTEADED,NORTHLOOP,CENTRAL,55401-1309,401 5TH ST N,5.0,VACANT LAND - COMMERCIAL,0
83750,2020,0,NON-HOMESTEADED,NORTHLOOP,CENTRAL,55403,353 5TH ST N,3.0,COMMERCIAL,0
83751,2020,0,NON-HOMESTEADED,NORTHLOOP,CENTRAL,55401,528 7TH ST N,5.0,COMMERCIAL,0
83752,2020,0,NON-HOMESTEADED,NORTHLOOP,CENTRAL,55401,435 5TH ST N,5.0,COMMERCIAL,0
83772,2020,0,NON-HOMESTEADED,NORTHLOOP,CENTRAL,55405-1522,401 7TH ST N,5.0,APARTMENT,0
83776,2020,0,NON-HOMESTEADED,NORTHLOOP,CENTRAL,55405-1524,322 LAKESIDE AVE,5.0,COMMERCIAL,0
83779,2020,0,NON-HOMESTEADED,NORTHLOOP,CENTRAL,55405-1528,300 BORDER AVE,5.0,COMMERCIAL,0
83781,2020,0,NON-HOMESTEADED,NORTHLOOP,CENTRAL,55405,312 ROYALSTON AVE,5.0,VACANT LAND - COMMERCIAL,0
83783,2020,0,NON-HOMESTEADED,NORTHLOOP,CENTRAL,55401,554 7TH ST N,5.0,VACANT LAND - COMMERCIAL,0
83789,2020,0,NON-HOMESTEADED,NORTHLOOP,CENTRAL,55405,261 GLENWOOD AVE,5.0,VACANT LAND - COMMERCIAL,0
83790,2020,0,NON-HOMESTEADED,NORTHLOOP,CENTRAL,55405,209 GLENWOOD AVE,5.0,VACANT LAND - COMMERCIAL,0
83791,2020,0,NON-HOMESTEADED,NORTHLOOP,CENTRAL,55403,1301 CURRIE AVE,5.0,VACANT LAND - COMMERCIAL,0
83795,2020,0,NON-HOMESTEADED,NORTHLOOP,CENTRAL,55405-1610,138 GLENWOOD AVE,5.0,VACANT LAND - COMMERCIAL,0
83800,2020,0,NON-HOMESTEADED,NORTHLOOP,CENTRAL,55405,225 LYNDALE AVE N,5.0,VACANT LAND - COMMERCIAL,0
